time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1768094627307,download,100000,10.399975002235173,44826878.244232416,17.899975002235173,49.000025,100300,8.499925999999999
1768094628759,download,100000,9.699955999254943,14303041.520722171,56.09995600149011,29.000044,100300,
1768094628800,download,100000,13.799926000745057,52444698.095985934,15.299926000745057,22.000074,100300,7.20007099925494
1768094628835,download,100000,5.20007099925494,90156584.15919873,8.900070998509882,23.999929,100300,
1768094628872,download,100000,6.900184998509882,47199486.35853081,17.000185,18.999815,100300,
1768094628902,download,100000,4.500164000000002,114625885.90781584,7.000164000000002,21.999836,100300,
1768094628996,download,100000,9.100008001490117,14277578.038968207,56.20000799925494,32.999992,100300,10.699955999254943
1768094629059,download,100000,9.29997700074506,61252015.93168654,13.099977001490117,26.000023,100300,
1768094629118,download,100000,9.40011099850988,53851947.81973408,14.90011099850988,40.999889,100300,5.80019500074506
1768094629157,download,100000,9.100122001490117,78665725.73990367,10.200122002980233,27.999878,100300,
1768094629217,download,1000000,6.200028999254943,336234884.46178186,23.80002899701977,29.999971,1000300,
1768094629273,download,1000000,4.700028999254943,332049393.00040627,24.100028997764827,29.999971,1000300,6.300008000745059
1768094629327,download,1000000,4.400245998509881,406208125.53826237,19.70024599925494,32.999754,1000300,
1768094629378,download,1000000,5.9998840000000015,373945952.25643384,21.399883998509885,28.000116,1000300,
1768094629436,download,1000000,10.700142999254943,254852342.5635278,31.400142998509885,24.999857,1000300,12.800092000745057
1768094629503,download,1000000,22.500071,193762378.75851682,41.300071000745056,23.999929,1000300,
1768094629545,download,1000000,3.9999770000000012,571600939.0586855,13.999977000000001,26.000023,1000300,15.29999800074506
1768094629597,download,1000000,6.400216002235176,326625691.7898193,24.500216,25.999784,1000300,
1768094629635,upload,100000,5.600195001490118,23236994.218652427,34.600000001490116,28.999805,376,
1768094629669,upload,100000,6.2001639992549435,28510638.2986256,28.199999999254942,21.999836,381,4.500050000000002
1768094629698,upload,100000,5.800092000745057,29999999.999165975,26.800000000745058,20.999908,375,
1768094629727,upload,100000,4.900092002235173,31042471.03979207,25.900000002235174,20.999908,376,
1768094629756,upload,100000,7.499946999999999,30339622.64150943,26.5,19.000053,381,
1768094629788,upload,100000,4.20007099925494,28510638.2986256,28.199999999254942,23.999929,380,
1768094629922,upload,100000,6.400195002235176,22711864.405345622,35.400000002235174,28.999805,380,
1768094629985,upload,100000,7.200028999254943,21612903.226239324,37.19999999925494,29.999971,381,7.800080000745055
1768094634468,upload,1000000,5.40006899850988,45321307.77941112,177.39999999850988,171.999931,375,11.70008000298023
1768094634639,upload,1000000,4.500029000000012,50407523.51097178,159.5,154.999971,381,7.8998630022351755
1768094634806,upload,1000000,5.20005000298022,51145038.16696931,157.20000000298023,151.99995,381,19.40007999850988
1768094634975,upload,1000000,5.300122000745063,50789639.92395551,158.30000000074506,152.999878,375,24.400161998509887
1768094635138,upload,1000000,4.600071001490107,52343749.99949219,153.60000000149012,148.999929,377,33.000038
1768094635299,upload,1000000,5.400257002235179,53457446.807716176,150.40000000223517,144.999743,376,29.500122
1768094635469,download,10000000,5.6000290014901175,593930087.4109681,134.70002900298024,29.999971,10000300,
1768094635619,download,10000000,6.2001740029802335,706733895.9911296,113.20017400298023,31.999826,10000300,28.400007998509885
1768094635760,download,10000000,5.200028999254943,760478877.8201439,105.20002899925494,29.999971,10000300,
1768094635936,download,10000000,4.599911997764828,706111757.6108435,113.29991200074505,58.000088,10000300,
1768094636101,download,10000000,5.999977000000001,599718244.319184,133.39997700223518,26.000023,10000300,17.80012199701977
1768094636253,download,10000000,6.200029002980234,692661297.9465139,115.500029,29.999971,10000300,13.20007100298023
1768094637790,upload,10000000,4.300191000745144,55284329.23052932,1454.300000000745,1449.999809,381,47.499977 42.399976998509885 50.700050002980234 58.900050002235176 40.90002899850988 21.80002900074506 24.400100998509885 22.899977002235175 24.799914000745055
1768094639401,upload,10000000,5.500133999999889,52877342.979283124,1520.5,1514.999866,376,23.500174 16.400159998509878 15.700028999254943 14.80002899701977 66.30010100074506 5.600101001490117 7.700028999254943 8.700122002980233 11.200140999254941 13.80006700074506
1768094640927,upload,10000000,5.699993999254957,55459750.293192595,1449.699999999255,1444.000006,381,20.100266997764827 15.199883999254943 14.299913997019765 16.399934998509885 17.400122002235175 6.299955997019769 10.300267000745059 9.399955998509885 11.800153000745055 13.899956002235175
1768094642465,upload,10000000,6.500148999999965,54974358.97435897,1462.5,1455.999851,380,29.400007998509885 9.100029001490118 15.400266998509885 18.30013200074506 17.500235000000004 9.700117999254942 13.100245997764823 11.30000800074506 7.6000290014901175 7.500059
1768094642797,download,25000000,6.299841997019769,703243709.9632704,284.3998419985099,34.000158,25000300,14.09987200149012 38.500267
1768094643125,download,25000000,10.000122000000001,698332104.7553154,286.40012200223515,27.999878,25000300,21.200121999254943 45.499956
1768094643416,download,25000000,4.800122000745059,798093785.4404187,250.60012200149012,27.999878,25000300,33.30000800074506
1768094643704,download,25000000,4.599956001490117,816336473.1379789,244.999956,29.000044,25000300,16.000169999999997 26.399934998509885
1768094644998,download,100000000,5.9998840000000015,672610121.0894369,1189.39988399851,28.000116,100000300,42.899925998509886 14.29999800074506 37.000071 42.30011300074506 18.600164001490118 40.30018500074506 70.60014299776483
1768094646277,download,100000000,18.29999800074506,681955844.653393,1173.0999980014901,23.000002,100000300,18.799851000745058 259.2999240007451 42.10010899776483 25.40007999850988 18.400028998509885 35.70002899925494
1768094647370,download,100000000,7.399926002235173,806779406.7168959,991.5999260014901,22.000074,100000300,7.099956001490117 18.30022500074506 25.900016998509884 28.399831998509885 46.000029 27.999977 9.299891000745056
1768094650185,download,250000000,5.600028997764827,770090630.9611077,2597.1000289977646,29.999971,250000300,17.000216 14.700101002980233 14.299874000745056 22.300092000745057 35.200018999254944 35.699926002980234 20.399946998509883 7.9999259999999985 38.89978100223517 37.69999800298024 28.300185000745056 20.899852998509886 15.300113000745057 21.70009199925494 32.100039997764824 26.19990499925494 31.000092
1768094652888,download,250000000,4.900008002235175,803504235.8968176,2489.10000800149,32.999992,250000300,37.600006001490115 36.000071 41.600070997764824 44.499874 41.40007099850988 22.799947000745057 40.40009199850988 22.100112997764825 40.30009200074505 29.70018499925494 23.300071000745056 26.700018999254944 25.599853001490118 31.400112998509883 33.70009199925494 10.600019001490118
